name,club,age,nationality,position,called_up,minutes,avg_rating,clearances_pg,aerial_duels_won,total_duels_won,accurate_passes,long_balls_accurate,balls_recovered_pg,errors_leading_shot,dribbled_past_pg,fouls_pg,raw_score,rating_bonus,composite_score,cb_score,tier,status,rank
Kakang Rudianto,Persib Bandung,23,Indonesia,CB/RB,No,1668,6.64,1.3,0.4,2.2,22.6,0.9,4.8,6,2.7,0.6,-0.5363748396834292,2.559999999999999,2.02362516031657,44.3,🟢 Developing,❌ Tidak Dipanggil,24
Kadek Raditya Maheswara,Persis Solo,26,Indonesia,CB,No,1230,6.58,1.6,0.6,1.5,21.6,1.6,4.1,10,1.1,0.4,-0.3941924539221926,2.3200000000000003,1.9258075460778077,42.2,🟢 Developing,❌ Tidak Dipanggil,25
Muhammad Anwar Rifa'i,Arema FC,25,Indonesia,CB,No,338,6.61,1.3,0.8,1.5,7.8,0.3,2.9,1,0.5,0.3,-0.5441846439048535,2.4400000000000013,1.8958153560951478,41.5,🟢 Developing,❌ Tidak Dipanggil,26
Riswan Lauhim,Malut United,27,Indonesia,CB,No,155,6.5,1.8,1.4,3.0,8.4,0.2,4.0,4,1.4,0.2,-0.11419495612155045,2.0,1.8858050438784495,41.3,🟢 Developing,❌ Tidak Dipanggil,27
Arif Budiyono,PSBS Biak,33,Indonesia,CB/RB,No,949,6.51,2.1,1.1,2.2,15.1,1.4,4.4,12,1.1,0.4,-0.15421559312342115,2.039999999999999,1.885784406876578,41.3,🟢 Developing,❌ Tidak Dipanggil,28
Nur Diansyah,Madura United,27,Indonesia,CB,No,478,6.53,2.0,0.5,1.3,14.5,1.9,4.2,2,1.5,0.5,-0.289041379237866,2.120000000000001,1.830958620762135,40.1,🟢 Developing,❌ Tidak Dipanggil,29
Alfharezzi Buffon,Borneo FC,20,Indonesia,CB/RB,Yes,1106,6.53,1.2,1.1,3.2,19.9,1.2,4.6,12,2.4,0.4,-0.2949116754919551,2.120000000000001,1.8250883245080458,40.0,🟢 Developing,✅ Dipanggil,30
Wahyu Prasetyo,Dewa United,28,Indonesia,CB,Yes,1032,6.56,1.4,0.3,2.2,19.0,1.2,5.3,4,1.7,0.5,-0.43859456378459505,2.2399999999999984,1.8014054362154033,39.5,🟢 Developing,✅ Dipanggil,31
Charisma Fathoni,Persita Tangerang,25,Indonesia,CB,No,1052,6.49,1.7,1.1,2.1,18.4,1.4,3.9,9,1.2,0.6,-0.21881740836748514,1.9600000000000009,1.7411825916325157,38.2,🟢 Developing,❌ Tidak Dipanggil,32
Daffa Salman,PSM Makassar,24,Indonesia,CB,No,501,6.47,2.5,0.3,2.7,18.3,2.3,6.0,1,5.0,1.0,-0.15039950890546694,1.879999999999999,1.7296004910945322,37.9,🟢 Developing,❌ Tidak Dipanggil,33
Eky Taufik,Persis Solo,35,Indonesia,CB/LB,No,700,6.45,1.8,1.0,3.6,21.1,1.1,5.3,8,2.5,1.3,-0.1452644720234041,1.8000000000000007,1.6547355279765967,36.3,🟢 Developing,❌ Tidak Dipanggil,34
Akbar Arjunsyah,Persijap Jepara,24,Indonesia,CB,No,3,6.7,0.0,0.3,0.3,0.7,0.0,0.7,0,0.3,0.0,-1.286850083289021,2.8000000000000007,1.5131499167109796,33.2,🟢 Developing,❌ Tidak Dipanggil,35
Rian Miziar,Persis Solo,25,Indonesia,CB,No,489,6.36,0.6,1.4,2.5,20.1,2.0,5.3,4,0.8,0.6,-0.13600516986327385,1.4400000000000013,1.3039948301367275,28.7,🟢 Developing,❌ Tidak Dipanggil,36
Syahrul Lasinari,PSM Makassar,26,Indonesia,CB/RB,No,1086,6.37,1.3,0.6,2.8,14.8,2.3,6.1,6,2.9,0.9,-0.36079548339069095,1.4800000000000004,1.1192045166093094,24.7,🟢 Developing,❌ Tidak Dipanggil,37
Hadi Ardiansyah,PSBS Biak,25,Indonesia,CB,No,481,6.21,2.6,1.1,2.7,15.4,0.4,4.7,2,2.0,0.6,0.04184202993075922,0.8399999999999999,0.8818420299307591,19.5,🟢 Developing,❌ Tidak Dipanggil,38
Dion Markx,Persib Bandung,20,Indonesia,CB,No,3,6.4,1.0,0.0,0.0,2.0,0.0,0.0,0,0.0,2.0,-1.3833502096709123,1.6000000000000014,0.21664979032908915,5.1,🟢 Developing,❌ Tidak Dipanggil,39
Andrean Rindorindo,Persita Tangerang,22,Indonesia,CB,No,65,6.17,1.7,0.0,0.7,7.3,2.0,3.0,3,0.7,0.7,-0.6961362619948352,0.6799999999999998,-0.01613626199483542,0.0,🟢 Developing,❌ Tidak Dipanggil,40
